"","LocationCode","year","negative","neutral","positive","sentiment","tweets"
"1","BRG1665",2014,37,411,3,-0.0753880266075388,451
"2","BRG1666",2014,71,1700,5,-0.0371621621621622,1776
"3","BRG1667",2014,43,940,13,-0.0301204819277108,996
"4","BRG1668",2014,208,2208,8,-0.0825082508250825,2424
"5","BRG1669",2014,479,7018,36,-0.0588079118545068,7533
"6","BRG1670",2014,206,4482,15,-0.0406123750797363,4703
"7","BRG1671",2014,253,3222,26,-0.0648386175378463,3501
"8","BRG1672",2014,298,2009,12,-0.123329021129797,2319
"9","BRG1673",2014,299,4040,24,-0.0630300252120101,4363
"10","BRG1674",2014,251,3398,29,-0.0603588907014682,3678
"11","BRG1675",2014,71,547,2,-0.111290322580645,620
"12","BRG1676",2014,284,2491,17,-0.0956303724928367,2792
"13","BRG1677",2014,4344,25296,216,-0.138263665594855,29856
"14","BRG1678",2014,33,427,4,-0.0625,464
"15","BRG1679",2014,393,5961,34,-0.056199123356293,6388
"16","BRG1680",2014,789,4794,40,-0.133202916592566,5623
"17","BRG1681",2014,111,3363,11,-0.0286944045911047,3485
"18","BRG1682",2014,7,96,1,-0.0576923076923077,104
"19","BRG1683",2014,234,495,2,-0.317373461012312,731
"20","BRG1685",2014,2581,9833,80,-0.20017608452057,12494
"21","BRG1686",2014,5,171,0,-0.0284090909090909,176
"22","BRG1687",2014,37,727,3,-0.0443285528031291,767
"23","BRG1688",2014,776,2698,23,-0.215327423505862,3497
"24","BRG1689",2014,3485,19498,168,-0.143276748304609,23151
"25","BRG1690",2014,34,1416,8,-0.0178326474622771,1458
"26","BRG1691",2014,11,259,3,-0.0293040293040293,273
