"","LocationCode","year","negative","neutral","positive","sentiment","tweets"
"88","BRG1677",2016,5701,37570,201,-0.126518218623482,43472
"89","BRG1677",2017,13098,54997,1194,-0.17180216195933,69289
"90","BRG1677",2018,24202,137961,6750,-0.103319460313889,168913
"91","BRG1677",2019,23239,209595,7742,-0.0644162343708433,240576
"92","BRG1678",2013,39,339,2,-0.0973684210526316,380
"93","BRG1678",2014,33,427,4,-0.0625,464
"94","BRG1678",2015,34,431,2,-0.0685224839400428,467
"95","BRG1678",2016,36,385,3,-0.0778301886792453,424
"96","BRG1678",2017,69,474,18,-0.0909090909090909,561
"97","BRG1678",2018,116,984,63,-0.0455717970765262,1163
"98","BRG1678",2019,217,2015,110,-0.0456874466268147,2342
"99","BRG1679",2013,327,5099,22,-0.0559838472834068,5448
"100","BRG1679",2014,393,5961,34,-0.056199123356293,6388
"101","BRG1679",2015,271,5733,17,-0.0421856834412888,6021
"102","BRG1679",2016,460,5597,36,-0.0695880518627934,6093
"103","BRG1679",2017,507,4907,152,-0.0637800934243622,5566
"104","BRG1679",2018,1201,10403,754,-0.0361709014403625,12358
"105","BRG1679",2019,2389,21440,1139,-0.050064082024992,24968
"106","BRG1680",2013,579,3495,26,-0.134878048780488,4100
"107","BRG1680",2014,789,4794,40,-0.133202916592566,5623
"108","BRG1680",2015,522,4266,42,-0.0993788819875776,4830
"109","BRG1680",2016,712,4937,27,-0.120683579985906,5676
"110","BRG1680",2017,877,4556,206,-0.118992729207306,5639
"111","BRG1680",2018,2320,11996,849,-0.0969996702934388,15165
"112","BRG1680",2019,4212,26827,1269,-0.0910919896000991,32308
"113","BRG1681",2013,117,2813,11,-0.0360421625297518,2941
"114","BRG1681",2014,111,3363,11,-0.0286944045911047,3485
"115","BRG1681",2015,80,2731,15,-0.0230007077140835,2826
"116","BRG1681",2016,150,3321,3,-0.0423143350604491,3474
"117","BRG1681",2017,232,2933,69,-0.0504019789734075,3234
"118","BRG1681",2018,520,5332,352,-0.0270793036750484,6204
"119","BRG1681",2019,925,10258,497,-0.0366438356164384,11680
"120","BRG1682",2013,3,146,0,-0.0201342281879195,149
"121","BRG1682",2014,7,96,1,-0.0576923076923077,104
"122","BRG1682",2015,3,127,1,-0.0152671755725191,131
"123","BRG1682",2016,0,71,0,0,71
"124","BRG1682",2017,8,95,2,-0.0571428571428571,105
"125","BRG1682",2018,7,95,4,-0.0283018867924528,106
"126","BRG1682",2019,22,192,9,-0.0582959641255605,223
"127","BRG1683",2013,83,377,1,-0.177874186550976,461
"128","BRG1683",2014,234,495,2,-0.317373461012312,731
"129","BRG1683",2015,68,223,1,-0.229452054794521,292
"130","BRG1683",2016,47,179,0,-0.207964601769911,226
"131","BRG1683",2017,111,327,3,-0.244897959183673,441
"132","BRG1683",2018,214,651,23,-0.21509009009009,888
"133","BRG1683",2019,158,786,21,-0.141968911917098,965
"134","BRG1684",NA,NA,NA,NA,NA,NA
"135","BRG1685",2013,1750,7905,57,-0.174320428336079,9712
"136","BRG1685",2014,2581,9833,80,-0.20017608452057,12494
"137","BRG1685",2015,1865,8836,96,-0.163841807909605,10797
"138","BRG1685",2016,2461,11171,68,-0.174671532846715,13700
"139","BRG1685",2017,2680,10625,374,-0.168579574530302,13679
"140","BRG1685",2018,3350,18550,1112,-0.0972536068138363,23012
"141","BRG1685",2019,5326,36615,1626,-0.0849266646773934,43567
"142","BRG1686",2013,5,166,0,-0.0292397660818713,171
"143","BRG1686",2014,5,171,0,-0.0284090909090909,176
"144","BRG1686",2015,7,227,0,-0.0299145299145299,234
"145","BRG1686",2016,15,768,1,-0.0178571428571429,784
"146","BRG1686",2017,29,333,6,-0.0625,368
"147","BRG1686",2018,78,791,18,-0.0676437429537768,887
"148","BRG1686",2019,107,1590,23,-0.0488372093023256,1720
"149","BRG1687",2013,23,268,3,-0.0680272108843537,294
"150","BRG1687",2014,37,727,3,-0.0443285528031291,767
"151","BRG1687",2015,25,579,4,-0.0345394736842105,608
"152","BRG1687",2016,22,595,2,-0.0323101777059774,619
"153","BRG1687",2017,41,401,17,-0.0522875816993464,459
"154","BRG1687",2018,121,956,47,-0.0658362989323843,1124
"155","BRG1687",2019,210,1933,70,-0.0632625395390872,2213
"156","BRG1688",2013,381,2034,11,-0.152514427040396,2426
"157","BRG1688",2014,776,2698,23,-0.215327423505862,3497
"158","BRG1688",2015,371,1930,24,-0.149247311827957,2325
"159","BRG1688",2016,500,2466,15,-0.16269708151627,2981
"160","BRG1688",2017,463,3083,88,-0.103192074848652,3634
"161","BRG1688",2018,834,5459,347,-0.0733433734939759,6640
"162","BRG1688",2019,1791,12012,586,-0.083744527069289,14389
"163","BRG1689",2013,3500,17749,112,-0.158606806797435,21361
"164","BRG1689",2014,3485,19498,168,-0.143276748304609,23151
"165","BRG1689",2015,1998,16083,141,-0.101909779387554,18222
"166","BRG1689",2016,3607,20632,157,-0.14141662567634,24396
"167","BRG1689",2017,3517,21771,721,-0.107501249567457,26009
"168","BRG1689",2018,10302,64170,4349,-0.0755255579096941,78821
"169","BRG1689",2019,12221,106101,6266,-0.0477975406941278,124588
"170","BRG1690",2013,16,738,4,-0.0158311345646438,758
"171","BRG1690",2014,34,1416,8,-0.0178326474622771,1458
"172","BRG1690",2015,22,1010,5,-0.0163934426229508,1037
"173","BRG1690",2016,31,924,1,-0.0313807531380753,956
"174","BRG1690",2017,41,765,18,-0.0279126213592233,824
"175","BRG1690",2018,114,1631,91,-0.0125272331154684,1836
"176","BRG1690",2019,275,2918,137,-0.0414414414414414,3330
"177","BRG1691",2013,14,192,0,-0.0679611650485437,206
"178","BRG1691",2014,11,259,3,-0.0293040293040293,273
"179","BRG1691",2015,5,337,0,-0.0146198830409357,342
"180","BRG1691",2016,10,322,0,-0.0301204819277108,332
"181","BRG1691",2017,25,501,10,-0.0279850746268657,536
"182","BRG1691",2018,45,603,32,-0.0191176470588235,680
"183","BRG1691",2019,86,1025,51,-0.0301204819277108,1162
