"Date","BRG1665","BRG1666","BRG1667","BRG1668","BRG1669","BRG1670","BRG1671","BRG1672","BRG1673","BRG1674","BRG1675","BRG1676","BRG1677","BRG1678","BRG1679","BRG1680","BRG1681","BRG1682","BRG1683","BRG1684","BRG1685","BRG1686","BRG1687","BRG1688","BRG1689","BRG1690","BRG1691","Total","year","year_month"
2014-11-01,127.99,1350.84,61.62,3022.72,642.4,5017.9,660.64,213.14,713.27,302.1,340.76,408.3,838.9,596.59,480.09,288.3,159.03,231.43,316.29,24.96,363.4,115.04,13.7,1038.3,4054.45,136.01,181.46,690.47,2014,"2014-11"
2014-12-01,71.73,680.19,42.96,2214.97,371.99,1930.47,318.68,83.52,298.61,153.37,209.61,153.5,339.4,365.11,269.09,119.23,102.08,96.26,181.69,12.91,135.43,56.13,16.33,340.56,2042.21,67.91,58.58,336.7,2014,"2014-12"
2015-01-01,77.07,812.53,57.75,2111.16,314.76,2637.57,384.87,101.54,386.07,178.09,181.6,200.87,384.68,453.9,297.45,139.66,89.32,144.42,172.91,13.81,140.65,59.09,10.49,459.36,2312.08,68.2,107.86,366.86,2015,"2015-01"
2015-02-01,86.36,721.58,43.42,2377.27,292.83,2084.44,359.31,85.76,277.49,155.29,168.59,146.77,303.71,407.4,260.77,123.2,84.83,111.12,156.97,12.18,126.44,54.13,15.73,431.35,1916.28,54.17,83.54,319.22,2015,"2015-02"
2015-03-01,111.64,905.11,51.41,2710.3,333.46,2362.48,377.63,104.91,379.06,198.64,199.71,167.85,381.59,510.6,289.23,141.42,94.68,137.84,194.22,14.72,161.98,58.55,17.93,453.53,2135.78,62.73,102.62,377.08,2015,"2015-03"
2015-04-01,98.94,852.3,42.62,2255.62,310.43,2392.69,329.35,100.57,303.41,167.88,183.39,149.24,349.43,429.99,255.18,136.95,90.31,120.13,168.04,11.99,143.17,53.51,12.44,438.8,2089.53,58.04,103.21,343.96,2015,"2015-04"
2015-05-01,134.11,1264.13,55.28,2378.51,380,2551.08,518.04,160.18,431.58,208.37,240.4,204.65,477.43,419.3,315.74,184.82,112.29,150.44,230.51,16.91,162.83,71.76,12.13,689.91,2996.83,81.08,136.17,454.45,2015,"2015-05"
2015-06-01,97.38,791.28,39.08,2235.53,289.3,2339.2,358.96,106.44,380.04,157.8,214.91,130.29,377.26,373.14,238.93,129.57,93.37,129.29,184.97,11.41,135.67,61.45,14,465.43,2251.68,59.23,98.47,351.56,2015,"2015-06"
2015-07-01,70.07,1019.27,40.4,1889,290.55,2364.35,255.42,111.97,360.39,146.11,215.97,151.38,406.41,317.1,326.85,145.1,98.59,142.06,226.63,12.4,170.72,58.56,12.17,479.36,2414.19,68.15,86.11,373.85,2015,"2015-07"
2015-08-01,392.87,2635.56,124.52,4889.8,1114.42,6167.98,991.24,296.5,1388.81,565.41,612.59,539.35,1184.11,1394.93,1004.87,419.4,285.67,455.54,597.31,50.8,564.02,162.43,29.96,1215.09,5089.63,202.76,379.16,1098.69,2015,"2015-08"
2015-09-01,87.72,855.99,59.37,2150.24,417.78,2499.61,71.15,108.9,469.69,167.5,224.16,177.06,334.77,349.15,289,91.34,119.12,129.49,182.33,16.14,128.93,68.64,14.64,378.69,2379.74,71.97,94.55,366.7,2015,"2015-09"
2015-10-01,77.42,742.63,41.15,1739.07,275.25,1999.94,32.13,84.25,336.79,129.63,180.81,126.54,290.31,286,237.05,100.13,89.34,112.22,145.12,11.06,116.84,47.02,14.48,364.12,1958.59,50.32,83.47,296.38,2015,"2015-10"
2015-11-01,70.86,762.31,46.05,1818.54,270.74,2386.7,51.17,85.13,289.26,132.28,190.55,129.57,319.55,307.76,225.63,112.37,88.63,123.06,117.91,10.78,130.23,46.32,12.94,431.28,2016.53,53.32,90.1,303.36,2015,"2015-11"
2015-12-01,56.45,611.13,34.59,1367.48,207.96,1787.56,30.2,63.55,216.46,94.6,143.77,91.76,263.43,202.44,148.16,88.08,76.28,86.62,69.16,8.38,103.31,35.67,13.46,274.79,1555.21,43.4,55.76,229.66,2015,"2015-12"
2016-01-01,62.55,599.51,55.23,1773.71,268.82,2074.57,104.12,55.49,206.65,112.81,179.08,158.24,362.05,351.02,196.75,125.47,85.96,132.24,51.14,10.19,116.24,29.77,11.16,328.45,1538.19,55.38,48.25,267.89,2016,"2016-01"
